constant, lambda, clicks, CTR, spend, CPM, CPC
70,8e-07,59,0.056%,6250,58.95280945508739,105.9322033898305
70,9e-07,63,0.057%,6250,56.403869756696274,99.2063492063492
70,1e-06,62,0.054%,6250,54.312876931365906,100.80645161290323
70,1.1e-06,65,0.055%,6250,52.99619275351259,96.15384615384616
70,1.2e-06,68,0.056%,6250,51.67809096997709,91.91176470588235
70,1.2999999999999998e-06,70,0.057%,6250,50.66923931284405,89.28571428571429
70,1.4e-06,72,0.057%,6250,49.67137418836975,86.80555555555556
70,1.5e-06,75,0.059%,6250,48.899564207083785,83.33333333333333
70,1.6e-06,76,0.059%,6250,48.15211445564998,82.23684210526316
70,1.6999999999999998e-06,77,0.058%,6250,47.38869343685551,81.16883116883118
70,1.8e-06,76,0.057%,6250,46.87300789716437,82.23684210526316
70,1.9e-06,79,0.059%,6250,46.472893290801345,79.11392405063292
70,2e-06,80,0.059%,6250,46.0449251125338,78.125
70,2.1e-06,83,0.060%,6250,44.86171823969796,75.3012048192771
70,2.2e-06,84,0.059%,6250,44.23056508969959,74.4047619047619
70,2.3e-06,84,0.059%,6250,43.58924287228701,74.4047619047619
70,2.4e-06,89,0.059%,6250,41.742359478521045,70.2247191011236
70,2.4999999999999998e-06,81,0.052%,6250,39.843431252549976,77.1604938271605
70,2.5999999999999997e-06,88,0.055%,6250,39.12901933286587,71.02272727272727
70,2.7e-06,86,0.055%,5949638,38114.51706929576,69181.83720930232
70,2.8e-06,83,0.055%,5642409,37403.60750934691,67980.8313253012
70,2.8999999999999998e-06,68,0.051%,4387676,33119.78502253187,64524.64705882353
75,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
75,2e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
75,3e-07,52,0.063%,6250,76.2734617168241,120.1923076923077
75,4e-07,56,0.065%,6250,72.18090266549638,111.60714285714286
75,5e-07,59,0.064%,6250,67.5266865465232,105.9322033898305
75,6e-07,58,0.060%,6250,64.88315840833826,107.75862068965517
75,7e-07,54,0.054%,6250,62.248515995378675,115.74074074074075
75,8e-07,59,0.056%,6250,59.79030344774806,105.9322033898305
75,9e-07,62,0.057%,6250,57.06824448949031,100.80645161290323
75,1e-06,63,0.056%,6250,55.206161890965625,99.2063492063492
75,1.1e-06,65,0.055%,6250,53.32582505716529,96.15384615384616
75,1.2e-06,67,0.056%,6250,51.994076834766986,93.28358208955224
75,1.2999999999999998e-06,68,0.056%,6250,51.15529109406844,91.91176470588235
75,1.4e-06,71,0.057%,6250,50.13154517453799,88.02816901408451
75,1.5e-06,74,0.058%,6250,49.1568615113572,84.45945945945945
