constant, lambda, clicks, CTR, spend, CPM, CPC
41,3.6999999999999997e-06,56,0.048%,3366.029,28804.68435780484,60107.66071428572
41,3.8e-06,56,0.049%,3190.161,28098.97562823144,56967.16071428572
41,3.9e-06,53,0.047%,3139.486,27886.959379635635,59235.58490566038
41,4e-06,46,0.044%,2693.839,25916.502313768124,58561.717391304344
41,4.1e-06,46,0.045%,2658.53,25748.723958585553,57794.13043478261
41,4.2e-06,45,0.044%,2593.323,25428.225442707822,57629.4
41,4.2999999999999995e-06,44,0.044%,2524.902,25108.163204423185,57384.13636363636
41,4.4e-06,44,0.045%,2432.701,24658.419153421994,55288.65909090909
41,4.5e-06,44,0.045%,2392.362,24447.530580336614,54371.86363636364
41,4.6e-06,43,0.044%,2340.762,24183.674101930967,54436.32558139535
41,4.7e-06,42,0.044%,2297.024,23975.03366072081,54691.04761904762
41,4.8e-06,42,0.044%,2260.114,23785.41585544248,53812.23809523809
41,4.9e-06,41,0.044%,2192.678,23449.596817316535,53479.95121951219
42,2e-06,77,0.055%,6250.0,44801.58275031541,81168.83116883117
42,2.1e-06,79,0.056%,6250.0,43923.14503773877,79113.92405063291
42,2.2e-06,79,0.055%,6250.0,43624.84033308438,79113.92405063291
42,2.3e-06,80,0.054%,6250.0,41993.657278004735,78125.0
42,2.4e-06,80,0.053%,6250.0,41678.892475126035,78125.0
42,2.4999999999999998e-06,74,0.047%,6250.0,39836.574437029536,84459.45945945945
42,2.5999999999999997e-06,74,0.047%,6250.0,39460.80752596521,84459.45945945945
